GrLivArea,SalePrice
2120,7735
1540,4773
2620,13777
2880,3192
1680,4021
790,6969
1092,7500
1650,9936
2090,4700
2180,28710
1990,6671
2650,7945
4460,16953
910,8000
2770,10773
2390,6888
3050,158558
1700,4000
3200,43560
1200,4500
2220,6953
2480,9041
2560,12100
2500,6300
1150,4000
1650,7775
1140,9628
3400,8965
1180,43124
1700,4105
1240,11200
2890,12478
1060,10050
1590,10523
2860,5682
820,1060
2020,8118
1870,9680
2170,4905
1600,6765
2090,4300
1700,6025
1940,6909
1320,8625
3500,13875
2800,5120
1080,2940
3550,8048
2010,251341
1690,1468
1270,1443
1970,2377
3160,8097
1210,1200
3120,5086
2670,8765
1640,1204
2303,3680
1800,3168
4460,2975
1590,2656
3070,4684
1330,7200
990,6750
1900,5790
2020,1159
2000,9416
1100,7600
960,40946
3488,9614
1890,9466
2030,8120
1380,7350
3660,5800
1870,3230
2080,12007
2450,14803
2750,6180
1240,4842
1900,7604
2540,6093
2100,10362
1790,2250
1170,7258
1060,9126
1930,6120
1540,7947
2876,13927
2150,7484
1140,5500
980,7790
1230,13056
1390,10905
2380,6250
3690,7200
3010,1074218
1250,9126
2290,6120
790,5240
2720,6014
2550,8632
1080,3899
2470,9620
850,7710
1990,8991
1800,10500
4850,36450
1020,7874
2420,49928
2910,5776
1060,9039
2340,6420
1800,5453
1660,6150
1300,62290
1780,23819
1030,4841
2790,5420
1150,3000
3290,11446
3400,247421
1200,4000
2160,8005
1450,4000
3240,3600
1470,1691
2360,5226
2230,9053
2630,48706
1010,25000
1445,1471
2380,6000
2830,13059
3010,46173
2000,9000
2020,3600
2030,6326
2550,11160
970,13700
1540,12446
1396,111949
2780,7875
2220,8797
2350,13402
2760,40946
4460,26027
1440,4421
5330,6000
2220,4228
5305,8401
3880,13095
3810,8519
1960,1168
1530,1131
3250,34293
1750,7208
3440,35021
1170,14149
870,5330
2930,18199
3160,12824
800,3330
2350,8001
1060,16470
2060,12558
1560,1750
3000,42200
1660,4800
1650,5100
3220,8936
2320,7500
2750,14982
910,6000
840,867
1470,1578
2040,10812
1100,4046
940,8532
1110,10500
2200,8100
2860,59612
740,11250
2740,8520
1250,7300
3140,8060
820,10270
2570,7264
2350,8140
3600,9200
1580,8000
1070,5824
1070,6109
1640,5000
2890,12130
1220,7876
1400,4500
1040,6250
980,10640
3340,10890
6040,219542
1900,1612
1740,7292
2000,3207
1610,7200
3240,13978
2230,9600
1160,2174
2410,6000
590,10945
2600,17388
2170,8240
2080,4000
2860,12394
2980,8107
1230,987
2260,7005
2200,14925
3030,12590
1060,1600
4260,18687
998,844
2052,3723
3150,6202
1950,7221
1347,1292
3860,5474
5060,10320
1360,885
2760,6000
2420,4670
2450,4332
1280,959
1550,3569
550,1279
1520,1588
1670,4005
430,5050
2380,9614
960,9633
1920,6862
3680,5854
2530,9200
3840,16905
1240,3600
1300,11867
2380,12067
1300,44431
780,13500
1810,39639
2420,12676
1280,2580
1680,6500
2510,5400
1700,8645
1680,3420
820,59677
4380,42769
2600,10092
3400,7452
2120,8399
2250,5700
1800,5612
2210,7620
1560,4080
2430,20720
2560,36601
1960,2500
1110,9762
1030,4500
1350,11507
1540,1827
1830,9600
1930,15531
1650,9641
3510,12905
3370,7920
2390,9157
1230,8114
2830,213879
1620,7540
2290,6250
2840,13367
4220,196817
1080,10500
1620,8645
4390,11600
1620,3975
1010,11244
1750,8476
4080,217697
2560,10400
1120,5500
4740,172497
1340,7788
1590,6750
1430,5000
1450,8960
3500,7200
1630,8702
1814,5000
580,7500
1670,4572
1140,8282
800,6380
1300,2580
2440,7155
1490,8371
1800,9550
1830,9152
1500,3920
2210,6080
1270,1323
1140,1730
1620,1173
1220,1186
750,1430
1960,9300
1370,3000
4580,4443
5584,68257
1010,4320
1260,6908
1740,5782
2670,10026
720,7200
2460,4399
3670,7000
2630,3435
1570,8459
2980,28000
1560,4200
1620,7410
1140,5000
2730,19877
2130,35169
1780,4050
2100,3916
1140,8800
1690,9144
1160,6000
1720,6270
1210,3328
1255,1374
880,7683
1050,9206
1650,12940
1570,9467
2920,7200
3000,4000
1850,7735
1440,7741
1440,8775
1810,12375
1180,9350
3070,5850
3390,5211
1470,6120
2680,7200
2290,10687
1980,8100
2870,9292
1840,4750
4060,13000
1630,8018
1880,5400
1780,13095
2330,6250
1840,4030
2330,10750
3200,6473
2330,1987
1950,8868
3080,4815
1040,5527
1960,3565
2750,3800
1930,36210
4850,40902
1982,6406
2640,4050
1850,50662
1940,9144
2840,7199
1900,10226
1410,6400
2520,8515
3160,9525
3720,29043
1820,1501
1560,8640
1600,5952
1230,11502
960,8100
1270,4000
2810,7700
2160,5581
2520,2152
1180,844
1810,4970
1680,15711
910,5250
3250,5797
2000,7294
3790,19000
2310,78844
2510,6339
1320,6205
2370,217800
900,7500
2540,7680
2100,9288
1200,6250
3720,15200
1760,4539
1670,7415
2420,8252
3480,15185
1630,4473
2340,5600
920,3780
910,6490
1150,4945
2500,4774
3250,235063
1930,6600
3400,234352
1590,2550
3330,7399
4590,14685
2610,7256
1658,2700
1600,1431
1296,1051
1280,835
5940,11533
2510,5311
2710,3475
1750,1548
1430,19901
1660,34848
1320,8865
2580,209523
2740,43101
2495,4400
2300,24773
1300,12240
2230,10414
2020,2750
2000,3800
1060,8187
2080,4800
2030,24829
2690,7000
3240,10800
1550,12920
1480,3132
3040,2800
1560,7300
2250,3757
1100,4600
1700,6356
2680,28014
800,2296
1350,6315
820,7680
3160,4270
1720,28000
1680,6755
1300,7958
2190,10370
1720,4006
1160,11776
3150,34830
1210,8075
1980,5100
2990,5669
1430,9600
2060,4030
2230,52983
3090,18645
4250,23326
1970,23180
1700,3171
2510,5503
3610,17580
2980,7000
1610,6480
3650,6982
2510,38141
1110,6000
1650,6150
1980,12150
880,1157
1490,9800
2520,5400
1820,22320
4140,9066
3420,8405
3150,7277
1580,7416
1660,8281
1100,10125
1270,3200
1450,6250
1830,9485
1300,4127
2320,5500
1680,9545
2300,5500
1400,4000
2410,4560
1480,7480
1390,9624
830,2699
740,9003
1940,6000
1340,15600
4440,6480
800,6240
1310,9645
2330,4000
1400,1243
2360,4367
1840,5752
2680,7178
3890,7140
1400,8640
2400,9701
2920,46355
1390,1302
1680,11193
2040,8800
1080,4000
2280,4280
4490,5099
4700,9160
2798,4473
2810,5400
3753,7204
3910,8095
1050,1609
1600,4300
2590,10002
1720,9753
4410,14034
1590,11914
2440,22594
1360,1016
910,7000
1390,7200
1470,14821
2920,9904
1950,52256
2390,4555
1270,11600
950,7560
900,423838
2280,6660
1010,5490
1260,5000
4730,13586
2620,21587
2330,4000
2170,2440
2450,9488
1880,7632
2300,3400
1240,14404
820,3844
1530,6375
2900,12160
1240,3867
4140,13392
2240,7725
1480,5000
2270,8876
1250,6250
1930,9747
1700,7800
1590,6420
1880,10000
1640,4240
2600,5085
710,1173
6980,15682
1460,5040
2080,9827
2630,9216
4430,21000
2760,6850
1670,12056
1990,4725
2600,5238
1320,1824
2240,3800
1960,8680
2590,108900
2620,6707
2770,9136
2110,10005
2290,4539
4960,6000
1110,26051
3310,6166
900,8580
1940,7313
1590,7617
2930,6050
2040,22653
1000,905
1730,1229
1220,4800
3060,12095
2910,5000
1050,5850
1560,7352
1680,3000
4140,20734
1550,8509
5700,20000
2200,7278
1740,2500
1210,9525
4240,25639
1590,11745
3420,7200
3190,11375
1920,5405
1340,4664
1700,8400
2310,3570
1510,44000
2670,10082
2060,8470
2090,6000
3090,23265
1240,1546
1860,3690
2000,7350
2500,92347
1820,20349
1820,8058
1060,5750
1950,9906
940,4800
1220,3568
4180,17935
1200,9800
3990,18897
1880,7560
2280,7200
2580,11000
2600,4674
3150,13700
5550,28078
2220,4000
1730,31491
2840,4120
2560,8780
1330,6000
1890,5202
4290,37607
1540,54450
2340,50233
2180,10230
2780,11964
2620,6019
3760,5000
2720,4738
2675,40910
2080,13189
2460,12028
1960,3480
2550,6256
1760,1146
1620,7330
1790,12000
3480,7232
2780,9900
3640,8239
750,4000
960,6634
2030,8880
2930,5569
1380,1073
1720,5525
1210,4800
950,4250
1710,4234
1410,12282
2910,7631
2220,7064
3160,13238
1380,4500
1760,5000
730,3000
2460,5000
2160,6272
1990,4600
3740,39640
2710,5500
2680,7836
1850,7560
3190,7869
2730,5832
1840,9990
2720,10000
4370,8510
2290,3475
990,4802
1140,2980
1840,4337
1110,6800
2150,9070
2230,5750
1170,6000
1960,7200
2610,9002
2130,8721
3020,43560
1670,5400
1890,7004
950,13475
2430,14400
2360,6000
1510,8301
2080,4828
1750,15500
1810,4064
1790,11875
2340,11034
1690,9626
2070,7476
2240,6396
4500,21780
2770,39927
1010,7245
1120,6900
3020,21441
4400,186846
1990,5650
1450,8820
1920,8497
1175,1366
1320,13200
3990,3839
1140,5720
1720,4240
2150,9915
1790,8203
2210,6327
2180,7519
1410,1290
1950,3600
1495,936
1660,6000
1950,8130
2550,5040
1370,3850
2200,4000
1250,6041
2220,8872
1620,4200
2250,26337
1720,99916
3030,9687
1030,9120
2190,4882
1440,5600
2170,9600
2930,3200
1180,9048
2360,57514
1660,8797
2390,9313
1360,5120
1840,3500
1800,43647
4130,12320
2220,132858
3490,9680
1830,5175
1550,4000
2050,9000
1230,6600
3150,5886
3800,33825
1350,3068
1530,8700
2290,2798
1480,15641
1970,10270
720,4840
1080,7236
2790,45902
2040,7488
1320,8220
1680,57063
2140,4923
1660,9600
1540,5338
1880,10758
1250,15603
2120,137565
1810,3000
2370,11172
1970,4036
2110,4099
2080,10521
3720,12384
1370,5125
2961,12146
2090,12112
2600,7210
1870,9000
2620,9873
2430,54059
1340,16480
1170,10621
2000,10182
2070,12000
4590,9150
2550,4623
1060,9600
1220,5000
1790,7203
2060,4040
1140,1182
2870,12648
2550,33740
2790,10125
1110,7962
940,5375
2880,18296
1200,4800
1030,4958
1240,2689
1200,9566
2780,4002
1765,7652
1960,14242
2680,11214
1410,7622
2240,3712
3120,7644
1450,4706
2340,5002
2481,4045
1530,1602
1250,7500
560,12120
2200,7475
1460,10584
1650,9380
3200,17204
2560,41346
2080,4252
1070,7140
2190,12626
2060,15837
2640,8000
1720,8755
3880,13885
960,4920
2340,59058
2660,13367
2090,4725
1820,4910
2310,8030
920,14400
790,13062
1500,6800
1240,11108
2730,36183
1170,11000
3410,9088
2700,9320
1650,7800
670,2378
1670,7757
1530,10731
1500,7615
1720,7200
2920,11440
910,4500
1050,4160
1540,7800
1210,7440
2650,11455
1990,3990
2660,8737
4060,9734
2300,23345
2630,16411
770,8149
3790,10669
2540,7210
2500,8500
2150,7303
1670,9600
1800,12669
2070,12708
830,2820
2370,9619
1010,5400
1420,4500
2120,8701
2020,7029
1520,2208
820,6250
1690,1553
2260,11305
1830,7897
1350,11150
3280,4000
2770,45514
2770,8642
2460,5091
4720,32467
1250,8100
1710,7225
1840,5101
2000,5962
650,15364
1020,9072
1500,18540
2060,4399
1810,29308
3810,28176
1650,4000
1540,704
2080,5244
2430,5500
1750,10284
1770,33224
1710,2300
2740,88426
2730,17240
2437,5136
3290,6203
2910,5260
1630,7599
4410,5104
1780,1487
1540,1487
1420,1189
2680,9750
1750,9750
2170,4912
2390,9966
2400,5350
1690,4250
3250,6000
4610,40202
2440,15349
1290,3870
2000,4676
1050,7500
2340,3784
2210,7665
2920,5568
3150,219978
3590,6402
1910,5000
3110,35235
2440,4750
1330,8400
1460,22651
3902,3880
5180,17811
1150,2064
1920,10403
2520,53143
970,3400
2490,7666
1680,8424
1150,4825
1980,7931
2070,13084
5660,193593
2420,10962
2610,4781
2810,10840
1510,10384
1910,4800
1700,51649
2020,10720
2340,4206
1463,868
1430,3840
1180,12324
4400,15580
1610,6176
1480,14250
2670,10338
1830,29110
920,4095
1150,19200
1190,7408
4160,35654
2370,12753
1660,3800
1480,8381
2390,6426
1690,1432
1010,7560
3500,8547
2330,7642
1890,9450
2000,6032
1130,10650
1670,9886
2600,5540
1560,31299
1170,5360
2100,4237
1710,11500
2420,5773
1370,4000
2660,3900
2260,3713
2070,4500
4670,43950
1500,13500
2658,3960
2700,5150
1530,1245
1480,1485
1390,1080
1660,3990
2050,4185
1550,7740
1900,8600
2820,6180
1490,4080
1750,12500
2040,6034
1900,5000
1910,12596
1560,14333
1470,6250
2700,9994
3450,11240
1970,9600
2670,12187
2550,13458
1720,4011
4270,6002
2170,16600
2840,9354
3270,50994
1480,7040
2440,8000
2880,5750
1730,9610
1260,4080
2230,9900
2460,16940
2050,94525
2030,2805
810,4800
1840,8100
1730,40250
2280,6815
2630,6326
2270,23900
1020,7020
1990,2175
2680,15508
1980,3300
2400,6975
780,5000
980,5000
1210,103237
4600,19831
1480,1961
1320,14250
4400,18500
3010,3600
2260,9568
1880,14653
1370,9900
2720,3800
1740,5400
2560,5593
2690,5557
3240,5562
2430,4747
1405,1073
3030,7679
4150,8436
1730,2940
3820,53173
3070,6432
1780,4169
1811,4381
2450,62290
2300,7398
1440,3225
2370,9360
4420,7850
1300,3550
2870,4369
3400,7200
1410,5060
1640,13500
3190,7399
2380,13435
2260,4165
1240,8050
4220,26784
4250,19387
1860,7963
2850,10474
2470,36445
2210,8000
1920,7665
3150,7778
2700,7875
2190,7149
1380,951
2520,5753
1300,8800
2220,6500
730,7528
3300,15907
4130,112521
2670,47480
1980,5909
740,5995
2050,3520
1230,7500
1210,1420
1890,7200
1870,6275
1330,6301
1590,35988
1710,10800
1200,9000
1140,5100
2240,8153
920,6600
800,5000
1980,11443
2800,12831
1680,35127
2330,9928
2240,9886
2140,8925
2170,14024
1150,8686
2030,3905
1350,11805
910,4635
2700,5100
3730,15029
2740,16007
2050,5000
2390,4500
1990,7252
1300,21000
1330,8912
1000,31505
2190,14937
1380,3402
2610,33206
1060,1241
710,1136
2730,4800
2470,131790
1760,10780
1530,3464
1610,158558
1030,21712
2800,246114
1310,2550
3160,34560
2500,8304
2070,5386
1980,9000
2590,7237
1910,16320
2630,10100
2630,77972
1960,4400
1440,45302
2210,16200
2350,63162
1590,13000
1500,1249
1900,6224
2370,3692
1720,1715
2020,7560
1340,1210
1800,2700
1480,1590
2750,7807
3760,28040
2540,4694
1760,26055
3000,25341
1930,9643
3040,7000
860,3880
1420,7650
2080,3880
1560,4200
1960,7133
1620,4500
3670,10583
1930,8400
1290,1286
1970,15247
1540,6909
2180,3870
1490,224334
2220,10275
2430,9133
1392,43710
1120,2685
1390,10800
2040,7281
2830,7500
3020,8302
2290,14800
1210,11100
2510,6320
2320,4322
970,6600
1820,5500
970,7742
1740,3622
1590,7560
1380,5000
1680,11123
1220,3000
1651,18200
1330,9200
2940,4622
1410,1246
1100,3598
1530,7200
5270,17232
2110,5150
1720,8750
1800,5001
2210,9427
2560,9731
1010,7719
3340,12248
1740,11075
1320,7200
1520,8625
2010,9480
2440,3427
2550,20875
1010,9450
1780,6771
2180,4976
2750,7500
3490,7024
2550,45254
1870,7189
1150,8184
2050,11856
1940,6555
3630,6000
1890,9100
1630,10375
2440,5000
3100,9825
2090,6045
920,9812
1580,5000
1760,8400
2530,7563
2490,9714
3870,35889
2732,9500
3230,3825
2930,14980
3510,9364
2580,3909
1060,1208
2790,8853
2009,5000
2880,8364
710,1157
2070,13241
1370,8336
1730,8400
1680,5000
1350,10096
1510,9078
1860,6607
3440,4500
4250,4400
860,3874
1640,4080
1295,1093
1790,27427
2210,6300
10040,37325
940,10368
1160,8906
1990,3984
1050,6300
1030,5750
1420,2581
2690,4000
3760,29224
700,4700
2100,5107
2240,27820
3470,32109
3370,19585
2790,230868
1870,4060
1520,15090
750,20339
1460,11407
2600,7465
3320,11901
2340,6000
890,7200
1720,5899
1270,1318
2180,7203
2030,13500
2490,17833
1470,5350
2500,7378
4500,21870
1460,1592
620,8261
1550,3680
1430,1002
1360,9760
2210,7557
2460,5100
2180,15693
1570,4875
4140,24190
1140,5500
8670,64033
800,15000
2414,7693
1160,8813
3170,10688
4210,17258
2060,4437
1640,7201
720,6686
1860,4736
2810,10986
2090,9702
3280,6181
2090,3610
2430,14607
2520,49222
2510,4125
3370,6675
1640,5280
2250,7294
2300,19250
1650,2262
710,1131
2550,8698
982,846
1630,2520
2550,4500
1240,2150
2456,7566
3200,20158
